"id","name","status","user_id"
"2","Carrinhos de Hot Dog","0","1"
"3","Carros","0","1"
"4","Caçambas","1","1"
"5","Peças para Industria","1","1"
"6","Aluguel de equipamentos","1","1"
"7","incêndio","0","1"
"8","Locação de Caçambas","1","1"
"9","Calhas","Coifas e Rufos","2015-07-06 17:11:04"
"10","climatizadores","1","1"
"11","Transportadora","0","1"
"12","paletes","1","1"
"13","piso tátil","0","1"
"14","Peças Tratores","1","1"
"15","Aluguel de guindaste e munck","1","1"
"16","Calderaria de termoplasticos","1","1"
"17","fios e cabos elétricos","1","1"
"18","Perucas","1","1"
"19","piso vinílico","0","1"
"20","Portas de aço","1","1"
"21","Portões","0","1"
"22","pisos de concreto","1","1"
"23","Advogados","1","1"
"24","Aluguel de gruas","1","1"
"25","Aluguel de Impressoras","1","1"
"26","Aluguel de mini grua","1","1"
"27","Automação comercial","1","1"
"28","Automatizadores de portas e portões","1","1"
"29","Balanças","1","1"
"30","banheiros químicos","0","1"
"31","Catracas","1","1"
"32","Comércio de equipamentos para contrução civil","1","1"
"33","comércio de máquinas","1","1"
"34","Concreto","1","1"
"35","Cones de sinalização","1","1"
"36","Desentupidora","1","1"
"37","Estrutura metálica","0","1"
"38","Ferramentas","1","1"
"39","Fotografia","1","1"
"40","Geradores","1","1"
"41","Grafica","0","1"
"42","Individualização de Água","0","1"
"43","Janelas acústicas","1","1"
"44","leitores de códigos de barras","0","1"
"45","Lonas","1","1"
"46","Luminárias","0","1"
"47","Manutenção Predial","0","1"
"48","manutenção e venda de compressores","1","1"
"49","Móveis de aço","0","1"
"50","Paineis de led","1","1"
"51","parafusos e porcas","0","1"
"52","parto natural","1","1"
"53","Pier flutuante","1","1"
"54","Projetos culturais","1","1"
"55","Raspagem de piso de madeira","0","1"
"56","Terceirização de Serviços","1","1"
"57","traduções","0","1"
"58","Acessorios para polimento de vidro","1","1"
"59","comércio de máquinas operatrizes","1","1"
"60","para-raio","1","1"
"61","Transformadores","1","1"
"62","madeira plástica","1","1"
"63","Válvulas e conexões de metal","1","1"
"64","Automação industrial","1","1"
"65","Caldeiraria","0","1"
"66","Resistências elétricas","1","1"
"67","Tubos e chapas de aço","1","1"
"68","usinagem","0","1"
"69","pontes rolantes","1","1"
"70","cabos de aço e cordoalhas","1","1"
"71","Chapas Perfuradas","expandidas e grades","NULL"
"72","peças em borracha","1","1"
"73","Redutores e engrenagens","1","1"
"74","Tanques e vazos de pressão","1","1"
"75","Bombas e peças para bombas","1","1"
"76","Isolamento térmico para telhados","1","1"
"77","moinhos trituradores","1","1"
"78","Agitadores e misturadores","1","1"
"79","bombas de vácuo","1","1"
"80","Equipamentos para Galvanoplastia","1","1"
"81","Calibração de instrumentos","1","1"
"82","cofres","1","1"
"83","Controladores de Temperatura","1","1"
"84","controle remoto para máquinas pesadas","1","1"
"85","Molas","1","1"
"86","roletes para esteiras transportadoras","1","1"
"87","aquecedores industriais","0","1"
"88","artefatos em inox","1","1"
"89","bancos de carga","1","1"
"90","Barras de Aço","1","1"
"91","Empacotadoras","1","1"
"92","Equipamentos pneumáticos","1","1"
"93","Estamparia de metais","1","1"
"94","Exaustores centrífugos","1","1"
"95","Exaustores","0","1"
"96","Fabricante de Correias","1","1"
"97","facas industriais","1","1"
"98","Ferramentas para torno","1","1"
"99","Fusiveis","0","1"
"100","Maçaricos","0","1"
"101","Manutenção de bomba hidraulica","1","1"
"102","Máquinas para frigorifico","1","1"
"103","Moldes para máquinas injetoras","1","1"
"104","monitoramento de vibração de máquinas e estruturas","1","1"
"105","Peças para converssão de glp em empilhadeira.","1","1"
"106","Polimento de piso de concreto","1","1"
"107","produtos em inox para cozinhas industriais","1","1"
"108","Reles","1","1"
"109","Rolamentos lineares","1","1"
"110","Tubo Termo Retrátil","1","1"
"111","Tubos helicoidais","1","1"
"112","Tubos","Conexões","2015-05-08 14:32:09"
"113","impermeabilizações","1","1"
"114","elétrica","0","1"
"115","Equipamentos para cozinhas industriais","1","1"
"116","Maquinas para industria quimica","1","1"
"117","Isolamento térmico automotivo","1","1"
"118","imã industrial","1","1"
"119","Locação e peças para mini escavadeira","1","1"
"120","coplamentos","1","1"
"121","Aluguel de máquinas pesadas","1","1"
"122","Transporte de resíduos","0","1"
"123","Rolamentos industriais","1","1"
"124","Retentores","1","1"
"125","peças para transmissão dana","1","1"
"126","Equipamentos vibratórios","1","1"
"127","domos","1","1"
"128","corte e dobra de chapas","1","1"
"129","camaras frigorificas","1","1"
"130","Mangueiras industriais","1","1"
"131","Bombas Industriais","1","1"
"132","Polias","1","1"
"133","Equipamentos para pintura e jateamento","1","1"
"134","Empilhadeiras ","1","1"
"135","fibras para concreto","1","1"
"136","Rodas e rodizios","1","1"
"137","mangueira de ar comprimido","1","1"
"138","aço para construção","1","1"
"139","Divisórias e Forros","1","1"
"140","Aço Especial","1","1"
"141","Correias Transportadoras","0","1"
"142","Projetos de Engenharia","1","1"
"143","Equipamentos de Segurança","1","1"
"144","Uniformes","1","1"
"145","Medicina Digital","1","1"
"146","Selos Mecânicos","1","1"
"147","Esquadrias de Alumínio","0","1"
"148","Cabeçotes","1","1"
"149","Marmoraria","1","1"
"150","Bobinas de Aço","1","1"
"151","Box","0","6"
"152","Equipamentos Hidráulicos ","1","6"
"153","Insulfilm e Película","1","6"
"154","Demolidora","1","6"
"155","Seladora à Vácuo","1","5"
"156","Embalagens","1","5"
"157","Locação Equipamentos","1","5"
"158","Telas mosquiteiro","0","5"
"159","Arquitetura e Design","1","5"
"160","Injeção de Plástico","1","5"
"161","Fibras para Isolamento e Vedação","1","5"
"162","Fretamentos","1","5"
"163","Cursos Profissionalizantes","0","5"
"164","Aquecedores de ambientes","0","5"
"165","Eventos ","0","6"
"166","Aspirador de pó industrial","1","5"
"167","Indústria química","1","5"
"168","Tintas pigmentos corantes","1","5"
"169","Maquinas serigrafia","1","5"
"170","Sistemas de ar condicionado","1","5"
"171","Elevadores","1","5"
"172","Segurança do Trabalho","1","5"
"173","Freios e embreagens Industriais","1","5"
"174","Consultoria ambiental","0","5"
"175","Farmácia/Manipulação ","1","6"
"176","Carimbo Industrial/Gravação em Metal","1","6"
"177","Higienização de toalhas","1","5"
"178","Home Center","1","5"
"179","Móveis plásticos","0","5"
"180","Equipamentos para Resfriamento Chiller","1","5"
"181","Inspeção de Equipamentos Industriais","1","5"
"182","Juntas","1","5"
"183","Insumos para borracha e plastico","1","5"
"184","Maquinas injetoras","1","5"
"185","Produtos Quimicos","1","5"
"186","Refrigeração","0","5"
"187","Locação de Equipamentos ","1","6"
"188","Esferas","1","5"
"189","Fornos Industriais e Artesanais","1","5"
"190","Estudo de solos","0","5"
"191","Painéis Elétricos","1","5"
"192","Chapas de aço pré pintados","1","5"
"193","Limpeza e higienização","0","5"
"194","Soldas e eletrodos","0","5"
"195","Maquinas pesadas","1","5"
"196","AGENDOR - CLASSIFICAR","1","5"
"197","Equipamentos Laboratoriais ","1","6"
"198","Lavanderia ","0","6"
"199","Transporte e Armazenamento","0","6"
"200","Alimentos em Geral","0","6"
"201","Transporte de Água","1","4"
"202","Galpões e Estruturas metálicas","0","5"
"203","Relógio de Ponto ","1","6"
"204","Centro Tântrico","0","4"
"205","Blindagem","1","6"
"206","Outros","0","6"
"207","Projetos e Instalações de Sistemas Audiovisuais","1","5"
"208","Obras","0","4"
"209","Sistemas de Aquecimento","0","4"
"210","perfil plasticos","1","16"
"211","stands","0","16"
"212","alimentador vibratorio","1","16"
"213","porta corta fogo","1","16"
"214","acoplamentos","1","4"
"215","marketing digital","1","4"
"216","pneus","0","4"
"217","Transporte de Containers","1","4"
"218","Barramentos blindados","1","5"
"219","envidraçamento de sacadas","1","4"
"220","box para banheiro","0","4"
"221","box de vidro","0","4"
"222","espelho para banheiro","0","4"
"223","Escovas Industriais","1","4"
"224","andaimes","1","4"
"225","Corte a laser","1","4"
"226","Comércio Varejista","1","21"
"227","calços calibrados","1","4"
"228","contabilidade","1","4"
"229","Artefatos de Borracha","1","21"
"230","refrigeração para transporte","0","4"
"231","maquinas hospitalares","1","16"
"232","selo de vedação","1","16"
"233","controladores digital","1","16"
"234","energia solar","1","16"
"235","EXTINTORES AUTOMOTIVOS","0","16"
"236","eletromecanica","1","16"
"237","anéis de aço","1","16"
"238","coleta residuos ","1","16"
"239","retifica de motores","1","16"
"240","Montagens industriais","1","5"
"241","Topografia","1","21"
"242","Caldeiras","0","21"
"243","Pisos e Revestimento","0","21"
"244","Centro e assistência psicossocial ","1","21"
"245","Treinamentos","1","21"
"246","Comércio de Sucata","1","21"
"247","Maquina de café","1","16"
"248","Produtos de Ceramica","1","16"
"249","Pisos de Borracha","1","16"
"250","Sinalização Viária","1","16"
"251","Aluguel de Stands","1","16"
"252","Produtos Ambientais","0","16"
"253","Componentes Eletronicos","1","16"
"254","Polimeros","1","16"
"255","Artefatos de Aluminio","1","16"
"256","Placas de Isopor","1","16"
"257","Metalurgica","1","16"
"258","Materiais Hospitalares","1","16"
"259","Tambores Industriais","1","16"
"260","instrumentos eletricos","1","16"
"261","Tratamento de Efluentes","1","16"
"262","Limpeza Técnica","1","16"
"263","Cambios","1","16"
"264","Travas Anti-Furto","1","16"
"265","Industria de Minérios","1","16"
"266","Poços Artesianos","1","16"
"267","Terraplanagem","1","16"
"268","Bobinas de papel","1","16"
"269","Aquecimento Plastico","1","16"
"270","Lacres e Abraçadeiras","1","16"
"271","Tubos de Concreto","1","16"
"272","Escadas de Concreto","1","16"
"273","Fitas de Aço","1","16"
"274","Peças de Porcelana","1","16"
"275","Espaço para Eventos","1","16"
"276","Sacos de Ráfia","1","16"
"277","Sistemas Drenagem e Dosagem","1","16"
"278","Reservatório de Água","0","16"
"279","Resinas Industriais","1","16"
"280","Reciclagem","1","16"
"281","Ventiladores Industriais","1","16"
"282","Equipamentos Odontologicos","1","16"
"283","Industrias de Gaxetas","1","16"
"284","Tecidos Filtrantes","1","16"
"285","Rebites","1","16"
"286","Prensa Hidraulica","1","16"
"287","Maquinas Embaladoras","1","16"
"288","Equipamentos de Solda","0","16"
"289","Rosca Industrial","1","16"
"290","Táxi Aéreo ","1","16"
"291","Elastomeros","1","16"
"292","Prótese Capilar","1","16"
"293","Poliuretano","1","16"
"294","Maquina Lavadora Industrial","1","16"
"295","Administração de Condomínios ","1","16"
"296","Dedetizadora","0","21"
"297","Blocos de Concreto","1","16"
"298","Coberturas metalicas","0","16"
"299","Laudos Técnicos","0","16"
"300","Trocadores de Calor","1","16"
"301","Cromação de Peças","1","16"
"302","Desumidificador","1","21"
"303","Mudas de planta","1","21"
"304","Extintores","0","16"
"305","Telas de Aluminio","1","16"
"306","Filtros de Água","0","16"
"307","Materiais de Limpeza e descartáveis","1","21"
"308","Construtora","1","21"
"309","Carrinhos para supermercado","1","21"
"310","Assistência Técnica  ","1","21"
"311","Comércio de equipamentos industriais","1","21"
"312","Componentes para filtração","1","21"
"313","Corrimãos","1","21"
"314","Ferramentaria","0","16"
"315","EPI- Equipamentos de proteção Individual","0","21"
"316","Imagens Aéreas","1","16"
"317","Piscinas","1","4"
"318","Aquecedor Solar","0","4"
"319","Fundição","1","16"
"320","Telemedicina","1","4"
"321","Guarda - Moveis","1","16"
"322","Irrigação","1","16"
"323","Salão de beleza e Estética","1","21"
"324","Capas e sombreamento","1","21"
"325","Móveis de Madeira","0","21"
"326","Mudança","0","77"
"327","Montagem e fabricação","1","77"
"328","Lavagem de sofá","1","77"
"329","Troca de óleo","1","77"
"330","Funilaria","1","77"
"331","SPA","1","77"
"332","Oficina Mecânica","1","77"
"333","Soluções Ergonômicas","1","77"
"334","Higienização de Sofás","0","77"
"335","Envidraçamento de Ambientes","1","77"
"336","Drenagem Linfática","1","77"
"337","Lubrificantes Automotivos","1","77"
"338","Software","0","77"
"339","Jardinagem","1","77"
"340","Chopp","1","77"
"341","Design de Interiores","1","77"
"342","Revestimento de pecas","1","83"
"343","casa de repouso","1","83"
"344","sistema de energia","1","83"
"345","fisioterapia","1","83"
"346","acessorios automotivos","1","83"
"347","madereira","1","83"
"348","Toldos","1","83"
"349","fretes","1","83"
"350","Pet Shop","1","85"
"351","Sacadas de alumínio","1","85"
"352","Aluguel de Limosine","1","16"
"353","Brindes","0","16"
"354","Embalagens plasticas de cosméticos ","1","85"
"355","Buffet ","1","85"
"356","Grade de Isolamento","1","16"
"357","Madeireira","1","16"
"358","Clinica de reabilitação","1","85"
"359","Aplicadora","1","85"
"360","Estruturas Metálicas","0","85"
"361","Chaveiro","1","85"
"362","Pintura","1","85"
"363","Purificadores","1","85"
"364","Psiquiatria","0","85"
"365","Detetive","0","85"
"366","Aparelhos Auditivos","1","21"
"367","Joalheria","1","21"
"368","Escola","1","21"
"369","Marcenaria","1","21"
"370","Lazer","Recreação e Entretenimento   ","2019-04-01 10:11:19"
"371","Manutenção de Varais","1","21"
"372","Comercio Varejista de Vidros","1","21"
"373","Pizzaria","0","21"
"374","Canil","1","21"
"375","Serralheria","1","21"
"376","Redes de Proteção","1","21"
"377","Redação","1","4"
"378","Persianas","1","21"
"379","Obras de acabamento em gesso e estuque","1","21"
"380","Serviço Funerário","1","21"
"381","Aparelhos Cirurgicos","1","21"
"382","Práticas integrativas e complementares em desenvolvimento humano","1","21"
"383","Gases Nobres","1","21"
"384","far","1","21"
"385","Piso Laminado","1","21"
"386"," Corretagem na compra e venda e avaliação de imóveis","0","21"
"387","Atividades de cobranças e informações cadastrais","1","21"
"388","Divulgação Planejada e panfletagem ","1","21"
"389","Locação de sítio","1","21"
"390","Esquadrias em PVC","1","21"
"391"," peças e acessórios para a instalação de aquecedores a gás","1","21"
"392","Preparação de documentos e serviços de recursos de multas de transito","suspensão ou cassação de CNH","2022-02-22 14:43:07"
"393","Tendas e Coberturas","1","4"
"394","Aparas de papel","1","4"
"395","Geomembrana","1","4"
"396","Funerária","1","2"
"397","CORRENTES ","1","2"
"398","psicólogo ","1","2"
"399","Clinicas médicas ","1","2"
"400","Guarda volume","1","2"
"401","produtos fitness","1","2"
"402","silagem","sementes","2022-04-06 14:43:18"
"403","Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação","1","21"
"404","piso de madeira","0","2"
"405","Decks de madeira","0","2"
"406","piso de madeira e raspagem","1","2"
"407","Confecção ","1","2"
"408","Móveis Planejados","1","21"
"409","Atendimento ao público","1","4"
"410","transportes","0","2"
"411","Cursos","1","4"
"412","Saúde","0","4"
"413","Eletrônicos","0","4"
"414","Imobiliária","0","4"
"415","Clínica de Estética","1","4"
"416","Colchões","0","4"
"417","Móveis de Escritório","0","4"
"418","Cursos Online","0","4"
"419","acrilico","1","2"
"420","grama","1","2"
"421","grama sintética ","1","2"
"422","envelopamento","1","2"
"423","Gaiola de Habilidades para Reabilitação","1","2"
"424","cabide","1","2"
"425","Clínica","cursos","palestras criativas."
"426","veterinario","1","2"
"427","aluguel de lanchas","1","2"
"428","convênio médico","0","2"
"429","Planos de saúde","0","2"
"430","cadeiras","1","2"
"431","fabrica de cadeiras","1","2"
"432","odontologia","0","2"
"433","dentista","0","2"
"434","pisos de madeiras","0","2"
"435","registro de marcas e patentes","1","2"
"436","marcas e patentes","1","2"
"437","esoterismo","1","2"
"438","esotericos","1","2"
"439","sucatas","1","2"
"440","sucata","1","2"
"441","talhas","1","2"
"442","Guindastes","1","2"
"443","Assessoria Aeronáutica","1","2"
"444","Ferro e Aço ","1","2"
"445","licenciamento ambiental","1","2"
"446","pousadas","1","2"
"447","pousada","1","2"
"448","Terapia","1","4"
"449","Terapia Floral","1","4"
"450","Web Design","0","4"
"451","Serviços Ambientais","1","4"
"452","filtros industriais","1","2"
"453","Turismo","0","2"
"454","Refrigeração Industrial","1","4"
"455","Detecção de Água Submersa","1","4"
"456","floricultura","1","2"
"457","sinta para elevação","1","2"
"458","industria textil","1","2"
"459","Estética automotiva ","1","2"
"460","instalação de carregador veicular","1","2"
"461","arruelas","1","2"
"462","transporte executivo","1","2"
"463","musico","1","2"
"464","Mídia visual ","1","2"
"465","comunicação visual","1","2"